clean_image,adv_image,noise
clean_20260605_215720_076792.jpg,adv_20260605_215803_081455.jpg,45.19
clean_20260605_215720_076792.jpg,adv_20260605_215805_938313.jpg,45.34
clean_20260605_215720_076792.jpg,adv_20260605_215808_796071.jpg,45.63
clean_20260605_215720_076792.jpg,adv_20260605_215812_986796.jpg,45.49
clean_20260605_215720_076792.jpg,adv_20260605_215818_237625.jpg,45.68
clean_20260605_215720_076792.jpg,adv_20260605_215823_308924.jpg,45.26
clean_20260605_215720_076792.jpg,adv_20260605_215829_145319.jpg,44.39
clean_20260605_215720_076792.jpg,adv_20260605_215834_137085.jpg,43.29
clean_20260605_215720_076792.jpg,adv_20260605_215838_559498.jpg,43.89
clean_20260605_215720_076792.jpg,adv_20260605_215843_958127.jpg,43.89
clean_20260605_215720_076792.jpg,adv_20260605_215848_819475.jpg,43.89
clean_20260605_215720_076792.jpg,adv_20260605_215852_690638.jpg,44.41
clean_20260605_215720_076792.jpg,adv_20260605_215857_082744.jpg,44.64
clean_20260605_215720_076792.jpg,adv_20260605_215900_620554.jpg,44.66
clean_20260605_215720_076792.jpg,adv_20260605_215903_720048.jpg,44.67
clean_20260605_215720_076792.jpg,adv_20260605_215909_062375.jpg,44.62
clean_20260605_215720_076792.jpg,adv_20260605_215916_342726.jpg,44.67
clean_20260605_215720_076792.jpg,adv_20260605_215920_532905.jpg,44.35
clean_20260605_215720_076792.jpg,adv_20260605_215924_597056.jpg,44.36
clean_20260605_215720_076792.jpg,adv_20260605_215932_155746.jpg,44.28
clean_20260605_215720_076792.jpg,adv_20260605_215936_620273.jpg,44.51
clean_20260605_215720_076792.jpg,adv_20260605_215939_969450.jpg,44.47
clean_20260605_215720_076792.jpg,adv_20260605_215945_620841.jpg,44.48
clean_20260605_215720_076792.jpg,adv_20260605_215949_643689.jpg,44.23
clean_20260605_215720_076792.jpg,adv_20260605_215955_329492.jpg,43.4
clean_20260605_215720_076792.jpg,adv_20260605_220000_522410.jpg,46.55
clean_20260605_215720_076792.jpg,adv_20260605_220003_401347.jpg,43.45
clean_20260605_215720_076792.jpg,adv_20260605_220008_438069.jpg,43.42
clean_20260605_215720_076792.jpg,adv_20260605_220015_985705.jpg,43.25
clean_20260605_215720_268525.jpg,adv_20260601_200722_033489.jpg,38.05
clean_20260605_215720_268525.jpg,adv_20260601_200726_985328.jpg,23.55
clean_20260605_215720_268525.jpg,adv_20260601_200732_790092.jpg,65.68
clean_20260605_215720_268525.jpg,adv_20260601_200735_190392.jpg,56.96
clean_20260605_215720_268525.jpg,adv_20260601_200737_438642.jpg,33.49
clean_20260605_215720_268525.jpg,adv_20260601_200740_257993.jpg,33.03
clean_20260605_215720_268525.jpg,adv_20260601_200742_857943.jpg,53.69
clean_20260605_215720_268525.jpg,adv_20260601_200745_536431.jpg,50.57
clean_20260605_215720_268525.jpg,adv_20260601_200748_060134.jpg,47.25
